"ID ACTIVO","NUMERO ETIQUETA",ESTADO,"VALOR UNITARIO","FECHA ADQUISICION",CATEGORIA,"DESCRIPCION CATEGORIA",MARCA,PLACAS,"NÚMERO MOTOR",SERIE,MODELO,COLOR,"DESCRIPCION BIEN","ID DEPENDENCIA",DEPENDENCIA
24436,290297,ALTA,95000,7/31/08,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,332,EX500AE342103,JKAENVC129A211209,2009,AZUL,MOTOCICLETA VULCAN 500 LTD,2104,UNIDAD DE BIENES MUNICIPALES
24437,290386,ALTA,95000,7/31/08,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,360,EX500AE342045,JKAENVC109A211175,2009,AZUL,MOTOCICLETA VULCAN 500 LTD,3112,SUBDIRECCION OPERATIVA
24437,290386,ALTA,95000,7/31/08,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,360,EX500AE342045,JKAENVC109A211175,2009,AZUL,MOTOCICLETA VULCAN 500 LTD,3112,SUBDIRECCION OPERATIVA
26093,201468698,ALTA,1096200,2/4/14,541,VEHICULOS Y EQUIPO TERRESTRE,INTERNATIONAL,,466HM2U2203730,3HAMMAARXEL757096,2014,,CAMION RECOLECTOR,4601,SINDICATURA DE ELDORADO
26220,201469417,ALTA,267500,5/19/14,541,VEHICULOS Y EQUIPO TERRESTRE,FORD,P- UC90241,DKG01124,1FTMF1CMXDKG01124,2013,BLANCO,PICK UP F-150,4521,U DE CONSERVACION Y MANTENIMIENTO DE INFRAESTRUCTURA MPAL
26222,201470060,ALTA,167899.98,8/6/14,549,OTROS EQUIPOS DE TRANSPORTE,KAEACENTER DE SINALOA SA DE CV,POL-,KL650AEAA8601,JKAKLEE16EDA72400,2014,C/BLANCO/AZUL,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
26239,201470322,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2997,2ZRL236766,5YFBURHE2EP129288,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
26239,201470322,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2997,2ZRL236766,5YFBURHE2EP129288,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
26297,201470381,ALTA,416867,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHEVROLET,POL2965,HECHO EN MEXICO,3GCPC9EC5EG397477,2014,,PICK UP CREW CAB,3101,COORDINACION ADMINISTRATIVA
26322,201470369,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2979,2ZRL116831,5YFBURHE6EP071895,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
26322,201470369,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2979,2ZRL116831,5YFBURHE6EP071895,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
26335,201571132,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,M-523,KL650AEAA9646,JKAKLEE10EDA73445,2014,,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
26339,201571119,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,M-537,KL650AEAA9625,JKAKLEE13EDA73424,2014,,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
26148,201468432,ALTA,402200,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,DODGE,POL2718,MOTOR HECHO EN USA,2C3CDXAG8EH121047,2014,,CHARGER  SEDAN,3101,COORDINACION ADMINISTRATIVA
26149,201368246,ALTA,166866,10/22/13,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,M-510,MOTO KL650AEAA6671,JKAKLEE16EDA70470,2014,,MOTOPATRULLA  KRL605,3101,COORDINACION ADMINISTRATIVA
30007,201470054,ALTA,167899.98,8/6/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER DE SINALOA SA DE CV,POL-,M- KL650AEAA8585,JKAKLEE11EDA72384,2014,C/BLACO/AZUL,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
30023,201470058,ALTA,167899.98,8/6/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER DE SINALOA SA DE CV,POL-,KL650AEAA9741,JKAKLEE15EDA73540,2014,C/BLANCO/AZUL,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
30026,201470336,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2996,2ZRL027100,5YFBURHEXEP069485,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30026,201470336,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2996,2ZRL027100,5YFBURHEXEP069485,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30027,201470338,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2995,2ZRL194350,5YFBURHE8EP110504,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30027,201470338,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2995,2ZRL194350,5YFBURHE8EP110504,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30036,201470055,ALTA,167899.98,8/6/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER DE SINALOA SA DE CV.,POL-,KL650AEAA8594,JKAKLEE12EDA72393,2014,C/BLANCO/AZUL,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
30037,201470057,ALTA,167899.98,8/6/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER DE SINALOA SA DE CV,POL-,KL650AEAA8592,JKAKLEE19EDA72391,2014,C/BLANCO/AZUL,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
30065,201470371,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2977,2ZRL131122,5YFBURHE3EP079663,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30065,201470371,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2977,2ZRL131122,5YFBURHE3EP079663,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30076,201470366,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2982,2ZRL244312,5YFBURHE8EP132972,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30076,201470366,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2982,2ZRL244312,5YFBURHE8EP132972,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30083,201470379,ALTA,416867,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHEVROLET,POL2966,HECHO EN MEXICO,3GCPC9EC3EG330361,2014,,PICK UP CREW CAB,3101,COORDINACION ADMINISTRATIVA
30092,201470373,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2974,2ZRL314235,5YFBURHE9EP160960,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30092,201470373,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2974,2ZRL314235,5YFBURHE9EP160960,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
30110,201571080,ALTA,421650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3051,HECHO EN MEXICO,3C6SRBDT9FG555488,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
30111,201571083,ALTA,421650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3052,HECHO EN MEXICO,3C6SRBDT3FG555440,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
30120,201571043,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3000,HECHO EN MEXICO,3C6SRADT0FG541148,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
30126,201571050,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3038,HECHO EN MEXICO,3C6SRADT9FG541147,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
30130,201571079,ALTA,421650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3050,HECHO EN MEXICO,3C6SRBDT5FG555441,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
30144,201571088,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,M-531,KL650AEAA9674,JKAKLEE15EDA73473,2014,,KAWASAKI KLR 650 ,3101,COORDINACION ADMINISTRATIVA
22549,201470340,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2993,2ZRL029380,5YFBURHE5EP036300,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22549,201470340,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2993,2ZRL029380,5YFBURHE5EP036300,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22558,201470353,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2990,2ZRL130097,5YFBURHE2E9082621,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22558,201470353,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2990,2ZRL130097,5YFBURHE2E9082621,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22559,201470354,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2989,2ZRL229476,5YFBURHE2EP125516,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
