ID_COL,ID_COLSECC,ID_SECT,NUM_LUM,ID_LUM,ID_LUMIN,TIPO_LUM,CAP_LUM,SERV,NUM_MED,CAPA,X_LON,Y_LAT
253,25302,12,1,12253001,12253020001,VSA,70,MED,63MH59,70,-107.42946078800,24.85226480180
253,25302,12,2,12253002,12253020002,VSA,70,MED,63MH59,70,-107.42967835600,24.85222768600
253,25302,12,3,12253003,12253020003,VSA,70,MED,63MH59,70,-107.43005605600,24.85229917230
253,25302,12,4,12253004,12253020004,VSA,70,MED,63MH59,70,-107.43037080800,24.85235874430
253,25302,12,5,12253005,12253020005,VSA,70,MED,63MH59,70,-107.43062674000,24.85240718460
253,25302,12,6,12253006,12253020006,VSA,70,MED,4V4P2,70,-107.43069424000,24.85215258210
253,25302,12,7,12253007,12253020007,VSA,70,MED,4V4P2,70,-107.43056202600,24.85176008680
253,25302,12,8,12253008,12253020008,VSA,70,MED,4V4P2,70,-107.43050536200,24.85159187300
253,25302,12,9,12253009,12253020009,VSA,70,MED,4V4P2,70,-107.42991934000,24.84987606360
253,25302,12,10,12253010,12253020010,VSA,70,MED,4V4P2,70,-107.42980821300,24.84954846390
253,25302,12,11,12253011,12253020011,VSA,70,MED,63MH59,70,-107.42957576200,24.85195049750
253,25302,12,12,12253012,12253020012,VSA,70,MED,63MH59,70,-107.42981516100,24.85184804650
253,25302,12,13,12253013,12253020013,VSA,70,MED,63MH59,70,-107.43012990700,24.85190761830
253,25302,12,14,12253014,12253020014,VSA,70,MED,63MH59,70,-107.43044465300,24.85196718940
253,25302,12,15,12253015,12253020015,VSA,70,MED,63MH59,70,-107.42971450200,24.85157122290
253,25302,12,16,12253016,12253020016,VSA,70,MED,4V4P2,70,-107.42989095200,24.85145685730
253,25302,12,17,12253017,12253020017,VSA,70,MED,4V4P2,70,-107.43020569600,24.85151642900
253,25302,12,18,12253018,12253020018,VSA,70,MED,4V4P2,70,-107.42982396100,24.85123469060
253,25302,12,19,12253019,12253020019,VSA,70,MED,4V4P2,70,-107.42981567300,24.85083619910
253,25302,12,20,12253020,12253020020,VSA,70,MED,4V4P2,70,-107.42964555400,24.85045590610
253,25302,12,21,12253021,12253020021,VSA,70,MED,4V4P2,70,-107.42976154200,24.85019382950
253,25302,12,22,12253022,12253020022,VSA,70,MED,4V4P2,70,-107.43008918900,24.85006642960
253,25302,12,23,12253023,12253020023,VSA,70,MED,4V4P2,70,-107.42942447000,24.85006929070
253,25302,12,24,12253024,12253020024,VSA,70,MED,4V4P2,70,-107.42946525900,24.84988700430
253,25302,12,25,12253025,12253020025,VSA,70,MED,4V4P2,70,-107.42968873700,24.84978060750
253,25302,12,26,12253026,12253020026,VSA,70,MED,4V4P2,70,-107.42922315900,24.84971724850
253,25302,12,27,12253027,12253020027,VSA,70,MED,4V4P2,70,-107.42926394800,24.84953496310
253,25302,12,28,12253028,12253020028,VSA,70,MED,4V4P2,70,-107.42954892800,24.84939928680
253,25302,12,29,12253029,12253020029,VSA,70,MED,4V4P2,70,-107.42903593100,24.84938837770
253,25302,12,30,12253030,12253020030,VSA,70,MED,4V4P2,70,-107.42882320500,24.84902656040
253,25302,12,31,12253031,12253020031,VSA,70,MED,4V4P2,70,-107.42964065700,24.84890254660
253,25302,12,32,12253032,12253020032,VSA,70,MED,4V4P2,70,-107.42932484800,24.84884789800
253,25302,12,33,12253033,12253020033,VSA,70,MED,4V4P2,70,-107.42900903700,24.84879324870
253,25302,12,34,12253034,12253020034,VSA,70,MED,4V4P2,70,-107.42869322900,24.84873859880
253,25302,12,35,12253035,12253020035,VSA,70,MED,4V4P2,70,-107.42844058100,24.84869487960
253,25302,12,36,12253036,12253020036,VSA,70,MED,63MH59,70,-107.42904015300,24.85216049440
253,25302,12,37,12253037,12253020037,VSA,70,MED,63MH59,70,-107.42918263400,24.85177100060
253,25302,12,38,12253038,12253020038,VSA,70,MED,63MH59,70,-107.42931426900,24.85141114930
253,25302,12,39,12253039,12253020039,VSA,70,MED,63MH59,70,-107.42949568500,24.85137161370
253,25302,12,40,12253040,12253020040,VSA,70,MED,63MH59,70,-107.42940271000,24.85110755470
253,25302,12,41,12253041,12253020041,VSA,70,MED,63MH59,70,-107.42935357300,24.85081180530
253,25302,12,42,12253042,12253020042,VSA,70,MED,63MH59,70,-107.42921022200,24.85055300920
253,25302,12,43,12253043,12253020043,VSA,70,MED,4V4P2,70,-107.42903178700,24.85024097340
253,25302,12,44,12253044,12253020044,VSA,70,MED,4V4P2,70,-107.42911260700,24.85007016690
253,25302,12,45,12253045,12253020045,VSA,70,MED,4V4P2,70,-107.42884420200,24.84991293500
253,25302,12,46,12253046,12253020046,VSA,70,MED,4V4P2,70,-107.42869551000,24.84965290460
253,25302,12,47,12253047,12253020047,VSA,70,MED,4V4P2,70,-107.42854681700,24.84939287310
253,25302,12,48,12253048,12253020048,VSA,70,MED,4V4P2,70,-107.42839812300,24.84913284150
253,25302,12,49,12253049,12253020049,VSA,70,MED,4V4P2,70,-107.42827490800,24.84884091990
253,25302,12,50,12253050,12253020050,VSA,70,MED,63MH59,70,-107.42897827100,24.85133771720
253,25302,12,51,12253051,12253020051,VSA,70,MED,63MH59,70,-107.42883579000,24.85172721090
253,25302,12,52,12253052,12253020052,VSA,70,MED,63MH59,70,-107.42871366400,24.85206106310
253,25302,12,53,12253053,12253020053,VSA,70,MED,4V4P2,70,-107.42868394900,24.85093588810
253,25302,12,54,12253054,12253020054,VSA,70,MED,4V4P2,70,-107.42847577600,24.85057184460
